리뷰ID,날짜(시간),상품카테고리,상품,채널,별점,리뷰원문
RV0200,2025-12-26 15:16,신발,쿠션 러닝화,자사 웹,5,쿠션 러닝화 교환 요청했더니 바로 처리해줘서 좋았어요.
RV0201,2025-12-06 21:44,식품,매운맛 라면,쿠팡,4,매운맛 라면 정말 자극적으로 매워서 눈물 나면서 먹었어요. 그래도 국물 맛은 진해서 좋았어요.
RV0202,2025-12-21 17:30,식품,마라탕 소스,CS 이메일,3,마라탕 소스 짠맛이 좀 강한 편이라 물을 많이 넣고 끓였어요.
RV0203,2025-12-26 23:51,식품,콜드브루 원두,네이버쇼핑,3,콜드브루 원두 향은 좋은데 생각보다 밍밍해서 아쉬웠어요.
RV0204,2025-12-06 15:50,식품,견과류 선물세트,자사 웹,5,견과류 선물세트 짭짤한 맛이 딱 적당해서 계속 손이 가요.
RV0205,2025-12-01 19:59,식품,매운맛 라면,네이버쇼핑,5,매운맛 라면 지금까지 먹어본 라면 중에 이게 제일 맛있었어요. 매운맛 강도도 딱 좋아요.
RV0206,2025-12-14 10:09,식품,훈제 아몬드,CS 이메일,5,훈제 아몬드 훈연향이 과하지 않고 짭짤해서 맥주 안주로 최고예요.
RV0207,2025-12-08 09:27,식품,마라탕 소스,쿠팡,3,마라탕 소스 향신료 향이 너무 세서 호불호가 갈릴 것 같아요.
RV0208,2025-12-20 22:02,식품,매운맛 라면,아마존,2,매운맛 라면 매운 정도가 너무 심해서 저는 반도 못 먹었어요.
RV0209,2025-12-18 23:44,식품,콜드브루 원두,자사 웹,5,콜드브루 원두 여러 브랜드 마셔봤는데 이 원두가 산미랑 밸런스가 제일 좋았어요.
RV0210,2025-12-21 19:01,식품,견과류 선물세트,CS 이메일,3,견과류 선물세트 단맛 코팅이 너무 강해서 몇 개 먹고 물렸어요.
